datacenter,canceled_job,hours_before_execution,request_month,request_week,request_day,peak_gpu_hours,offpeak_gpu_hours,num_primary_processes,num_auxiliary_processes,num_background_processes,service_tier,client_type,request_channel,returning_client,previous_job_cancellations,successful_previous_jobs,reserved_gpu_type,assigned_gpu_type,resource_modifications,reservation_commitment,queue_wait_time,workload_profile,estimated_cost_per_hour,reserved_storage_units,special_resource_requests,total_gpu_hours,total_processes,high_value_client
GPU_Cluster_AA,0,44,6,25,22,32604.2,103519.0,2,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T5,GPU_T5,0,no_commitment,0,single_experiment,106.47,0,0,136123.2,2.0,0
GPU_Cluster_BB,1,261,4,17,28,18197.6,20437.1,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,109.8,0,1,38634.7,2.0,0
GPU_Cluster_BB,0,75,1,2,8,27098.0,8232.0,1,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,multi_run_experiment,67.0,0,2,35330.0,1.0,0
GPU_Cluster_BB,1,56,2,5,1,0.0,52519.6,2,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,locked_allocation,0,single_experiment,60.0,0,0,52519.6,2.0,0
GPU_Cluster_BB,1,236,5,20,18,11980.3,38632.2,3,0.0,0,priority,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,220.4,0,2,50612.5,3.0,1
GPU_Cluster_AA,0,12,2,8,25,24224.8,12994.6,2,1.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T7,GPU_T7,0,no_commitment,0,multi_run_experiment,97.0,0,1,37219.4,3.0,0
GPU_Cluster_AA,0,345,7,29,21,79820.5,89875.9,2,0.0,0,priority,cloud_marketplace,broker_platform,1,0,0,GPU_T5,GPU_T5,2,no_commitment,0,single_experiment,196.7,0,4,169696.4,2.0,1
GPU_Cluster_BB,1,334,9,38,16,0.0,29993.5,2,0.0,0,standard,research_consortium,broker_platform,0,1,0,GPU_T1,GPU_T1,0,locked_allocation,0,multi_run_experiment,62.0,0,0,29993.5,2.0,0
GPU_Cluster_AA,0,97,6,23,8,17514.9,53851.4,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T6,GPU_T6,0,no_commitment,0,single_experiment,123.6,0,1,71366.3,2.0,0
GPU_Cluster_BB,0,31,4,16,21,44319.1,36378.4,2,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,85.0,0,0,80697.5,2.0,0
GPU_Cluster_BB,1,218,6,24,15,0.0,32998.7,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,130.5,0,1,32998.7,2.0,0
GPU_Cluster_BB,0,53,10,42,14,0.0,15216.3,1,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T4,0,no_commitment,0,multi_run_experiment,120.0,0,0,15216.3,1.0,0
GPU_Cluster_BB,1,24,6,27,27,11122.3,0.0,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,2,no_commitment,0,single_experiment,166.0,0,0,11122.3,2.0,1
GPU_Cluster_AA,1,109,7,29,21,53890.6,162756.4,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T5,GPU_T5,1,no_commitment,0,single_experiment,229.0,0,1,216647.0,2.0,1
GPU_Cluster_BB,0,409,5,22,31,0.0,31255.4,2,0.0,0,standard,research_consortium,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,112.67,0,1,31255.4,2.0,0
GPU_Cluster_BB,0,21,8,35,27,6260.4,0.0,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,109.0,0,0,6260.4,2.0,0
GPU_Cluster_BB,0,0,4,14,1,0.0,25653.6,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T5,0,no_commitment,0,single_experiment,75.42,0,0,25653.6,2.0,0
GPU_Cluster_AA,0,0,4,16,20,0.0,44267.3,2,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,80.0,0,0,44267.3,2.0,0
GPU_Cluster_AA,0,1,1,1,2,13274.0,5706.2,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,team_project,48.0,0,1,18980.2,2.0,0
GPU_Cluster_BB,1,230,5,21,25,0.0,47407.2,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,1,no_commitment,0,single_experiment,125.1,0,1,47407.2,2.0,0
GPU_Cluster_AA,1,48,11,48,25,13829.0,16819.8,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,2,no_commitment,0,single_experiment,48.0,0,1,30648.8,2.0,0
GPU_Cluster_AA,0,29,9,39,24,0.0,11352.7,2,0.0,0,priority,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T6,0,no_commitment,0,single_experiment,97.2,0,0,11352.7,2.0,0
GPU_Cluster_BB,0,213,8,35,21,19621.4,46880.5,3,0.0,0,standard,internal_research,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,106.75,0,1,66501.9,3.0,0
GPU_Cluster_AA,0,30,11,45,1,77667.6,175111.1,2,0.0,0,standard,enterprise_client,enterprise_portal,0,0,0,GPU_T1,GPU_T1,2,no_commitment,0,multi_run_experiment,49.2,0,0,252778.7,2.0,1
GPU_Cluster_BB,0,66,9,37,4,35495.2,54151.7,2,0.0,1,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,2,no_commitment,0,single_experiment,119.16,0,2,89646.9,3.0,0
GPU_Cluster_BB,0,125,6,25,17,0.0,23422.8,2,0.0,0,on_demand,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,116.1,0,1,23422.8,2.0,0
GPU_Cluster_AA,0,58,4,15,12,0.0,18997.2,2,0.0,0,standard,managed_account,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,multi_run_experiment,80.0,0,2,18997.2,2.0,0
GPU_Cluster_AA,0,40,1,3,16,15281.5,33903.3,1,0.0,0,unknown,research_consortium,api_direct,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,multi_run_experiment,55.0,0,0,49184.8,1.0,0
GPU_Cluster_AA,0,231,7,30,25,28567.6,40883.0,2,0.0,1,priority,managed_account,broker_platform,0,0,0,GPU_T1,GPU_T1,1,no_commitment,0,single_experiment,147.33,1,1,69450.6,3.0,1
GPU_Cluster_BB,1,237,12,52,23,31036.9,85963.3,2,1.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,2,no_commitment,0,single_experiment,93.03,0,0,117000.2,3.0,0
GPU_Cluster_BB,1,24,4,16,11,14743.0,36855.8,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T4,GPU_T4,0,no_commitment,0,single_experiment,123.5,0,0,51598.8,2.0,0
GPU_Cluster_AA,0,306,7,26,1,19315.0,59839.3,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T1,GPU_T1,0,no_commitment,0,single_experiment,93.38,1,1,79154.3,2.0,0
GPU_Cluster_AA,1,27,9,39,23,0.0,18148.7,2,0.0,0,standard,cloud_marketplace,broker_platform,0,0,0,GPU_T5,GPU_T5,0,no_commitment,0,single_experiment,159.0,0,1,18148.7,2.0,1
GPU_Cluster_AA,0,287,10,42,15,11562.8,47103.4,1,0.0,0,standard,research_consortium,enterprise_portal,0,0,0,GPU_T1,GPU_T2,1,no_commitment,0,multi_run_experiment,37.0,0,0,58666.2,1.0,0
