cohort_feature,cohort_value,n,cancellation_rate,accuracy,precision,recall,f1,tn,fp,fn,tp
client_type,cloud_marketplace,3634,0.3670886075949367,0.7501375894331316,0.6704,0.6281859070464768,0.6486068111455109,1888,412,496,838
client_type,enterprise_client,319,0.16927899686520376,0.9122257053291536,0.9642857142857143,0.5,0.6585365853658537,264,1,27,27
client_type,high_priority_partner,15,0.2,0.8,0.0,0.0,0.0,12,0,3,0
client_type,internal_research,804,0.16417910447761194,0.8482587064676617,0.7272727272727273,0.12121212121212122,0.2077922077922078,666,6,116,16
client_type,managed_account,1550,0.3329032258064516,0.9148387096774193,0.98,0.7596899224806202,0.8558951965065502,1026,8,124,392
client_type,research_consortium,1266,0.6192733017377567,0.9020537124802528,0.9621848739495799,0.8762755102040817,0.9172229639519359,455,27,97,687
client_type,sponsored_project,52,0.1346153846153846,0.8653846153846154,0.0,0.0,0.0,45,0,7,0
service_tier,enterprise,42,0.6190476190476191,0.8571428571428571,0.9545454545454546,0.8076923076923077,0.875,15,1,5,21
service_tier,on_demand,664,0.3539156626506024,0.733433734939759,0.6526315789473685,0.5276595744680851,0.5835294117647059,363,66,111,124
service_tier,priority,934,0.341541755888651,0.8351177730192719,0.7978339350180506,0.6927899686520376,0.7416107382550335,559,56,98,221
service_tier,standard,5896,0.3775440976933514,0.8344640434192673,0.8279118572927597,0.7088948787061995,0.7637947725072604,3342,328,648,1578
service_tier,unknown,104,0.23076923076923078,0.8942307692307693,0.8421052631578947,0.6666666666666666,0.7441860465116279,77,3,8,16
reserved_gpu_type,GPU_T1,5486,0.3893547211082756,0.8410499453153482,0.8449781659388647,0.7247191011235955,0.780241935483871,3066,284,588,1548
reserved_gpu_type,GPU_T12,2,1.0,0.0,0.0,0.0,0.0,0,0,2,0
reserved_gpu_type,GPU_T2,62,0.3709677419354839,0.7580645161290323,0.8333333333333334,0.43478260869565216,0.5714285714285714,37,2,13,10
reserved_gpu_type,GPU_T3,83,0.3614457831325301,0.7951807228915663,0.76,0.6333333333333333,0.6909090909090909,47,6,11,19
reserved_gpu_type,GPU_T4,1220,0.319672131147541,0.7778688524590164,0.683076923076923,0.5692307692307692,0.620979020979021,727,103,168,222
reserved_gpu_type,GPU_T5,409,0.27383863080684595,0.7995110024449877,0.6829268292682927,0.5,0.5773195876288659,271,26,56,56
reserved_gpu_type,GPU_T6,206,0.3155339805825243,0.8252427184466019,0.7301587301587301,0.7076923076923077,0.71875,124,17,19,46
reserved_gpu_type,GPU_T7,141,0.425531914893617,0.8439716312056738,0.796875,0.85,0.8225806451612904,68,13,9,51
reserved_gpu_type,GPU_T8,31,0.3870967741935484,0.7741935483870968,0.7272727272727273,0.6666666666666666,0.6956521739130435,16,3,4,8
