strategy,fold,train_n,val_n,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1
baseline,1,6112,1528,0.93717277486911,0.9076322636600174,0.924469964664311,0.9159737417943107,0.8232984293193717,0.7901960784313725,0.7120141342756183,0.7490706319702602
baseline,2,6112,1528,0.9397905759162304,0.912532637075718,0.9262367491166078,0.9193336256028057,0.8200261780104712,0.793939393939394,0.6943462897526502,0.7408105560791706
baseline,3,6112,1528,0.9335732984293194,0.9067425569176882,0.9147526501766784,0.9107299912049253,0.8304973821989529,0.8088531187122736,0.7102473498233216,0.7563499529633114
baseline,4,6112,1528,0.9370091623036649,0.91044124071647,0.9204946996466431,0.9154403689874808,0.8226439790575916,0.815845824411135,0.6731448763250883,0.7376573088092934
baseline,5,6112,1528,0.9379908376963351,0.9153812252093433,0.9174028268551236,0.9163909110964041,0.8239528795811518,0.8100208768267223,0.6855123674911661,0.7425837320574162
real_data,1,6612,1528,0.9387477313974592,0.9052369077306733,0.9248407643312102,0.9149338374291115,0.818717277486911,0.7721280602636534,0.7243816254416962,0.7474931631722881
real_data,2,6612,1528,0.9372353297035693,0.9051796157059315,0.9201698513800425,0.9126131817224679,0.824607329842932,0.791015625,0.715547703180212,0.75139146567718
real_data,3,6612,1528,0.9366303690260133,0.9070647603027755,0.9159235668789809,0.9114726389182337,0.8324607329842932,0.803921568627451,0.7243816254416962,0.7620817843866171
real_data,4,6612,1528,0.9366303690260133,0.9060402684563759,0.9171974522292994,0.9115847225152985,0.8174083769633508,0.7971014492753623,0.6802120141342756,0.7340324118207817
real_data,5,6612,1528,0.9396551724137931,0.910234899328859,0.921443736730361,0.9158050221565731,0.824607329842932,0.8040816326530612,0.696113074204947,0.7462121212121212
smote,1,7696,1528,0.9351611226611226,0.9373204492034474,0.9326923076923077,0.9350006512960792,0.8232984293193717,0.7924901185770751,0.7084805653710248,0.7481343283582089
smote,2,7696,1528,0.9341216216216216,0.9376473670421798,0.9300935550935551,0.9338551859099804,0.8226439790575916,0.7886497064579256,0.7120141342756183,0.7483751160631383
smote,3,7696,1528,0.9281444906444907,0.9368867674356934,0.9181392931392931,0.9274182963643522,0.8291884816753927,0.8043912175648703,0.7120141342756183,0.7553889409559512
smote,4,7696,1528,0.9289241164241164,0.938846051582026,0.9176195426195426,0.9281114469706926,0.8239528795811518,0.8193548387096774,0.6731448763250883,0.7390882638215325
smote,5,7696,1528,0.9358108108108109,0.942246835443038,0.9285343035343036,0.9353403141361256,0.8259162303664922,0.8073770491803278,0.696113074204947,0.7476280834914611
smote_cohort,1,6552,1528,0.9348290598290598,0.9284907790741438,0.9123520710059172,0.9203506808431263,0.8285340314136126,0.810204081632653,0.7014134275618374,0.7518939393939394
smote_cohort,2,6546,1528,0.9324778490681332,0.9243792325056434,0.9106745737583395,0.9174757281553398,0.8206806282722513,0.8004115226337448,0.6872791519434629,0.7395437262357415
smote_cohort,3,6542,1528,0.9276979516967289,0.9195315451454477,0.9034892353377877,0.9114398052799101,0.8226439790575916,0.7909270216962525,0.7084805653710248,0.7474370922646785
smote_cohort,4,6541,1528,0.9318147072313102,0.9247637051039698,0.9082807278128481,0.9164481079055826,0.8174083769633508,0.8112798264642083,0.6607773851590106,0.7283349561830574
smote_cohort,5,6539,1528,0.9353112096650864,0.9269578313253012,0.9149015235971758,0.9208902188142883,0.8213350785340314,0.8033126293995859,0.6855123674911661,0.7397521448999047
